Date received,Product,Company
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/30/2019,Debt collection,"Action Financial Services, LLC"
4/1/2019,Debt collection,"WAKEFIELD & ASSOCIATES, INC."
2/19/2019,Credit card or prepaid card,SYNCHRONY FINANCIAL
3/4/2020,Credit card or prepaid card,Alliant Capital Management LLC
3/9/2020,Debt collection,"Conn's, Inc."
3/20/2019,"Payday loan, title loan, or personal loan",Santander Consumer USA Holdings Inc.
3/20/2019,Credit card or prepaid card,FIRST NATIONAL BANK OF OMAHA
2/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/27/2019,Debt collection,Resurgent Capital Services L.P.
3/14/2019,Mortgage,FCI Lender Services Inc.
6/3/2019,Checking or savings account,JPMORGAN CHASE & CO.
4/2/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/7/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
12/10/2018,"Credit reporting, credit repair services, or other personal consumer reports",BBVA FINANCIAL CORPORATION
4/16/2019,"Credit reporting, credit repair services, or other personal consumer reports",SYNCHRONY FINANCIAL
4/5/2019,"Money transfer, virtual currency, or money service",CAPITAL ONE FINANCIAL CORPORATION
3/21/2019,Debt collection,Grant & Weber
12/13/2018,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/7/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports",SYNCHRONY FINANCIAL
4/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/10/2019,Credit card or prepaid card,SYNCHRONY FINANCIAL
4/13/2017,Credit card,"CITIBANK, N.A."
4/2/2019,"Credit reporting, credit repair services, or other personal consumer reports",SYNCHRONY FINANCIAL
9/23/2019,Debt collection,BTH Management
5/5/2019,Student loan,"Nelnet, Inc."
3/3/2020,Checking or savings account,KEYCORP
4/5/2019,Debt collection,SYNCHRONY FINANCIAL
6/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
7/16/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/25/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/1/2019,Mortgage,WELLS FARGO & COMPANY
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",JPMORGAN CHASE & CO.
10/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
